,antecedent,consequent,confidence,lift
0,"['HBV00000NFHJA', 'HBV00000OE7X7']",['HBV00000NVZBI'],0.2833333333333333,6.923354278874925
1,"['HBV00000PUXFP', 'HBV00000TIRUB']",['HBV00000O2S62'],0.5,13.099615014436958
2,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7H3'],0.3394495412844037,13.528778862815159
3,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000PV6O6'],0.5229357798165137,28.78631923637072
4,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000O3680'],0.48623853211009177,22.761649325139825
5,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7B5'],0.42201834862385323,25.90250612827488
6,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7QQ'],0.47706422018348627,11.070899520558124
7,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000NVZBI'],0.44954128440366975,10.984706734966153
8,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7X7'],0.3394495412844037,7.539906946799472
9,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000NVZBY'],0.3394495412844037,8.077059408481428
10,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7GG'],0.4036697247706422,23.630738877379898
11,"['HBV00000OE7J7', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7FN'],0.3944954128440367,29.954141235781098
12,"['HBV00000OE7FS', 'HBV00000OE7FN']",['HBV00000OE7D4'],0.6875,20.47531455142232
13,"['HBV00000OE7FS', 'HBV00000OE7FN']",['HBV00000O3680'],0.578125,27.06301053310404
14,"['HBV00000OE7FS', 'HBV00000OE7FN']",['HBV00000OE7B5'],0.515625,31.647864994363022
15,"['HBV00000OE7FS', 'HBV00000OE7FN']",['HBV00000OE7UF'],0.515625,20.445488892935177
16,"['HBV00000OE7FS', 'HBV00000OE7FN']",['HBV00000OE7GG'],0.546875,32.01394489247312
17,"['HBV00000OE7FN', 'HBV00000OE7B5', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000PV6O6'],0.746031746031746,41.067199512093346
18,"['HBV00000OE7FN', 'HBV00000OE7B5', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000O3680'],0.6507936507936508,30.464753169826256
19,"['HBV00000OE7FN', 'HBV00000OE7B5', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7QQ'],0.6190476190476191,14.365810092152802
20,"['HBV00000OE7FN', 'HBV00000OE7B5', 'HBV00000OE7UF', 'HBV00000OE7D4']",['HBV00000OE7GG'],0.6507936507936508,38.097320361836495
21,"['HBV00000OE7FN', 'HBV00000O3680', 'HBV00000NVZBI']",['HBV00000PV6O6'],0.6301369863013698,34.68748008920038
22,"['HBV00000OE7FN', 'HBV00000O3680', 'HBV00000NVZBI']",['HBV00000OE7QQ'],0.5205479452054794,12.079996262948299
